
	Consulta títulos com registro	G3353012303491371 10/09/2020 15:54:46	
Beneficiário		
Agência	674-2	
Beneficiário	3612-9 EMPRESA MODELO LTDA	
Data do movimento	08/09/2020	
Totais						
Operação	Quantidade	Valor	
Registrado	31	29.409,00 C	
Liquidado (Vlrs. Nominais)	14	18.052,78 C	
- Acrescimos	1	11,94 C	
Vlr.Rec.CBR.Simples/Vinc.	14	18.064,72 C	
- Valor sem Float	0	0,00	
- Valor com Float	14	18.064,72 C	
- Valor com Cheque a Comp.	0	0,00	
Lancamentos Cobranca	31	97,03 D	
- Total de Debito no dia	31	97,03 D	
- Tarifas	31	97,03 D	
- Despesas Cartorarias	0	0,00 D	
- Total de Credito no dia	0	0,00 C	
Lancamentos Desc./Vendor	0	0,00 C	
- Debito Desconto/Vendor	0	0,00 D	
- Credito Desconto/Vendor	0	0,00 C	
Valor Recebido - Desconto	0	0,00 C	
Valor Recebido - Vendor	0	0,00 C	
MODALIDADE SIMPLES CARTEIRA:17 VARIACAO:19													
Nosso nro.	Nome pagador	Vencto.	Dt.oper	Vl.título	Tarifa	Acrésc.	Abat/Desc.	Op.	Vl.líquido	Nº beneficiário	Ag.rec.	 	
15106990000007991-3	CLIENTE 11 LTDA	02/09/2020	08/09/2020	1.980,00	0,00	11,94	0,00	LQB	1.991,94 *	6560	1981-X		
15106990000007907-7	CLIENTE 11 LTDA	05/09/2020	08/09/2020	1.412,00	0,00	0,00	0,00	LQB	1.412,00 *	6578	1981-X		
15106990000007810-0	CLIENTE 21 LTDA	06/09/2020	08/09/2020	416,33	0,00	0,00	0,00	LQB	416,33 *	6511/02	1981-X		
15106990000007813-5	CLIENTE 24 LTDA	06/09/2020	08/09/2020	841,33	0,00	0,00	0,00	LQB	841,33 *	6512/02	1981-X		
15106990000007908-5	CLIENTE 20 LTDA	06/09/2020	08/09/2020	2.172,00	0,00	0,00	0,00	LQB	2.172,00 *	6579/01	1981-X		
15106990000007869-0	CLIENTE 19 LTDA	07/09/2020	08/09/2020	620,00	0,00	0,00	0,00	LQB	620,00 *	6547	1981-X		
15106990000007910-7	CLIENTE 28 LTDA	07/09/2020	08/09/2020	2.086,00	0,00	0,00	0,00	LQB	2.086,00 *	6580/01	1981-X		
15106990000007976-X	CLIENTE 01 LTDA	07/09/2020	08/09/2020	1.311,84	0,00	0,00	0,00	LQB	1.311,84 *	6629/01	1981-X		
15106990000007926-3	CLIENTE 02 LTDA	10/09/2020	08/09/2020	1.233,84	0,00	0,00	0,00	LQB	1.233,84 *	6589	1981-X		
15106990000007927-1	CLIENTE 10 LTDA	10/09/2020	08/09/2020	1.899,33	0,00	0,00	0,00	LQB	1.899,33 *	6590/01	1981-X		
15106990000007931-X	CLIENTE 22 LTDA	10/09/2020	08/09/2020	277,00	0,00	0,00	0,00	LQB	277,00 *	6592	1981-X		
